,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
56,30,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,956.82,135.62,0,898.72,0,73.83,0,71.68,0,0,0,536.95,0,0,0,0,0,0,0,50.47,0,66.61,0,0,0,0,0,0.5545885071,48.83438299,0.28935447,25.47915585
57,44,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,564.92,117.34,0,898.72,0,73.83,0,71.68,0,0,0,397.59,0,0,0,0,0,0,0,50.41,0,66.58,0,0,0,0,0,0.5068889601,44.63419147,0.1708389532,15.04325236
58,96,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1132.29,116.11,0,617.45,0,73.83,0,71.68,0,0,0,512.18,0,0,0,0,0,0,0,50.95,0,66.64,0,0,0,0,0,0.4562953241,40.17916045,0.3424188173,30.15174576
59,77,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,895.96,136.85,0,898.72,0,73.83,0,71.68,0,0,0,555.34,0,0,0,0,0,0,0,50.49,0,66.71,0,0,0,0,0,0.5605581328,49.36003937,0.2709496362,23.85851516
60,88,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1229.74,136.78,0,898.72,0,73.83,0,71.68,0,0,0,535.77,0,0,0,0,0,0,0,51.29,0,66.62,0,0,0,0,0,0.5548364855,48.85621876,0.3718889299,32.74674141
61,23,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1023.42,135.16,0,898.72,0,73.83,0,71.68,0,0,0,543.01,0,0,0,0,0,0,0,50.5,0,66.62,0,0,0,0,0,0.5562971386,48.98483681,0.3094951523,27.25264698
62,81,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,964.72,138.88,0,898.72,0,73.83,0,71.68,0,0,0,553.49,0,0,0,0,0,0,0,50.46,0,66.61,0,0,0,0,0,0.5605732534,49.36137082,0.2917435299,25.68952492
63,12,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,847.14,134.04,0,898.72,0,73.83,0,71.68,0,0,0,511.06,0,0,0,0,0,0,0,50.45,0,66.61,0,0,0,0,0,0.5462751834,48.10235189,0.2561858507,22.55848758
64,62,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1017.74,129.14,0,898.72,0,73.83,0,71.68,0,0,0,455.63,0,0,0,0,0,0,0,50.59,0,66.62,0,0,0,0,0,0.5280759903,46.49981892,0.3077774485,27.10139428
65,1,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1019.13,134.57,0,898.72,0,73.83,0,71.68,0,0,0,544.5,0,0,0,0,0,0,0,50.52,0,66.62,0,0,0,0,0,0.5565723341,49.0090692,0.3081978021,27.13840858
66,85,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,971.19,135.91,0,898.72,0,73.83,0,71.68,0,0,0,540.75,0,0,0,0,0,0,0,50.48,0,66.61,0,0,0,0,0,0.555828399,48.94356187,0.2937001397,25.86181452
67,37,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,972.15,135.79,0,898.72,0,73.83,0,71.68,0,0,0,539.07,0,0,0,0,0,0,0,50.48,0,66.61,0,0,0,0,0,0.5552840562,48.89562968,0.2939904559,25.88737836
68,16,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,977.66,134.98,0,898.72,0,73.83,0,71.68,0,0,0,538.94,0,0,0,0,0,0,0,50.5,0,66.62,0,0,0,0,0,0.5550058366,48.871131,0.2956567495,26.03410412
69,52,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,972.1,135.83,0,898.72,0,73.83,0,71.68,0,0,0,538.96,0,0,0,0,0,0,0,50.48,0,66.61,0,0,0,0,0,0.5552628873,48.89376565,0.2939753352,25.88604691
70,71,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1241.62,137.33,0,898.72,0,73.83,0,71.68,0,0,0,539.35,0,0,0,0,0,0,0,8.61,0,66.63,0,0,0,0,0,0.543181502,47.82993726,0.3754815921,33.06309388
71,35,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,974.27,136.11,0,898.72,0,73.83,0,71.68,0,0,0,538.86,0,0,0,0,0,0,0,50.47,0,66.62,0,0,0,0,0,0.5553173216,48.89855887,0.2946315707,25.94383183
